,worker,true_prob_idx,coords,h1Gd_lit,H_lit,KL_lit,dGh1_lit,h1Gd_prag,H_prag,KL_prag,dGh1_prag,posterior,log dGh1_lit,log dGh1_prag
33,A10249252O9I20MRSOBVF,70,"(4, 3)",0.5,0.6931471805599453,0.4054651081081644,0.03571428571428571,0.5,0.6931471805599453,0.5347999967395702,0.07142856722733254,0.34,-3.332204510175204,-2.639057388432605
34,A10249252O9I20MRSOBVF,70,"(4, 1)",0.5,0.6931471805599453,0.0,0.017857142857142856,0.5,0.6931471805599453,0.0,0.03567837678002234,0.51,-4.02535169073515,-3.3332104661386586
35,A10249252O9I20MRSOBVF,70,"(1, 2)",0.5,0.6931471805599453,0.0,0.014285714285714285,0.5,0.6931471805599453,0.0,0.02426575480824644,0.5,-4.248495242049359,-3.718689189736875
36,A10249252O9I20MRSOBVF,71,"(1, 4)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.16666666666666666,0.33333333333333337,1.0986122886681096,0.28768207245178107,0.2222222201804726,0.29,-1.791759469228055,-1.5040774059641473
37,A10249252O9I20MRSOBVF,71,"(4, 1)",0.3333333333333333,1.0986122886681096,0.0,0.06666666666666667,0.3333333333333333,1.0986122886681096,-1.1102230246251565e-16,0.08887151420380504,0.23,-2.70805020110221,-2.4205636129634356
38,A10249252O9I20MRSOBVF,71,"(3, 0)",0.3333333333333333,1.0986122886681096,0.0,0.05,0.3333333333333333,1.0986122886681096,0.0,0.062267764722495046,0.23,-2.995732273553991,-2.776311407281417
39,A10249252O9I20MRSOBVF,71,"(2, 5)",0.3333333333333333,1.0986122886681096,0.0,0.06666666666666667,0.33333333333333337,1.0986122886681096,2.220446049250313e-16,0.07142856856433487,0.23,-2.70805020110221,-2.639057369714571
40,A10249252O9I20MRSOBVF,74,"(1, 3)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.16666666666666666,0.3333333333333333,1.0986122886681096,0.28768207245178085,0.22222096775711045,0.27,-1.791759469228055,-1.5040830418852107
41,A10249252O9I20MRSOBVF,74,"(3, 1)",0.3333333333333333,1.0986122886681096,0.0,0.06666666666666667,0.3333333333333333,1.0986122886681096,0.0,0.08302368629666004,0.34,-2.70805020110221,-2.488629334829636
42,A10249252O9I20MRSOBVF,74,"(3, 3)",0.3333333333333333,1.0986122886681096,0.0,0.05,0.3333333333333333,1.0986122886681096,0.0,0.052631578840652476,0.53,-2.995732273553991,-2.9444389811940432
43,A10249252O9I20MRSOBVF,74,"(2, 2)",0.3333333333333333,1.0986122886681096,0.0,0.06666666666666667,0.3333333333333333,1.0986122886681096,0.0,0.06666666666666668,0.74,-2.70805020110221,-2.70805020110221
44,A10249252O9I20MRSOBVF,75,"(2, 2)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.125,0.3333333333333333,1.0986122886681096,0.28768207245178085,0.16666572581783282,0.13,-2.0794415416798357,-1.7917651143369917
45,A10249252O9I20MRSOBVF,75,"(4, 3)",0.3333333333333333,1.0986122886681096,0.0,0.03571428571428571,0.33333333333333337,1.0986122886681096,2.220446049250313e-16,0.04513590869697908,0.18,-3.332204510175204,-3.0980771475670834
46,A10249252O9I20MRSOBVF,75,"(1, 3)",0.3333333333333333,1.0986122886681096,0.0,0.017857142857142856,0.3333333333333333,1.0986122886681096,-1.1102230246251565e-16,0.019230767646706094,0.24,-4.02535169073515,-3.9512438009527138
47,A10249252O9I20MRSOBVF,75,"(1, 2)",0.3333333333333333,1.0986122886681096,0.0,0.014285714285714285,0.3333333333333333,1.0986122886681096,0.0,0.014492753623188324,0.24,-4.248495242049359,-4.234106504597265
48,A10249252O9I20MRSOBVF,76,"(0, 1)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.0625,0.3090166169972597,1.097264762628046,0.2890295984918443,0.07725363364941913,0.51,-2.772588722239781,-2.5606613267775784
49,A10249252O9I20MRSOBVF,76,"(4, 3)",0.5,0.6931471805599453,0.4054651081081644,0.008333333333333333,0.43441394774528197,0.6845192777977587,0.4267365093075557,0.013962680085414365,0.56,-4.787491742782046,-4.271367216878454
50,A10249252O9I20MRSOBVF,76,"(5, 1)",0.5,0.6931471805599453,0.0,0.0017857142857142857,0.35140213539444287,0.6483102976304358,0.014305103330888913,0.002091674320025377,0.61,-6.327936783729195,-6.169790423662818
51,A10249252O9I20MRSOBVF,76,"(0, 4)",0.5,0.6931471805599453,0.0,0.0005494505494505495,0.24599590613423672,0.5578932902409051,0.025815463785641604,0.00042170958727627854,0.65,-7.506591780070841,-7.771193662643826
52,A10249252O9I20MRSOBVF,80,"(2, 4)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.08333333333333333,0.2784997659176543,1.0727177944846478,0.3135765666352429,0.09283325530588475,0.21,-2.4849066497880004,-2.376950348794377
53,A10249252O9I20MRSOBVF,80,"(5, 5)",0.5,0.6931471805599453,0.4054651081081644,0.015151515151515152,0.5,0.6931471805599453,0.5851908795663219,0.03030271224589601,0.21,-4.189654742026425,-3.4965180574069943
54,A10249252O9I20MRSOBVF,80,"(5, 0)",0.5,0.6931471805599453,0.0,0.004545454545454545,0.5,0.6931471805599453,0.0,0.008568790928973682,0.25,-5.393627546352362,-4.759628638125459
55,A10249252O9I20MRSOBVF,80,"(2, 1)",0.5,0.6931471805599453,0.0,0.00202020202020202,0.5,0.6931471805599453,0.0,0.002808905559244341,0.42,-6.20455776256869,-5.874960352199753
56,A10249252O9I20MRSOBVF,81,"(2, 1)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.125,0.3333333333333333,1.0986122886681096,0.28768207245178085,0.16666572581783282,0.48,-2.0794415416798357,-1.7917651143369917
57,A10249252O9I20MRSOBVF,81,"(2, 4)",0.3333333333333333,1.0986122886681096,0.0,0.03571428571428571,0.33333333333333337,1.0986122886681096,2.220446049250313e-16,0.04513590869697908,0.48,-3.332204510175204,-3.0980771475670834
58,A10249252O9I20MRSOBVF,81,"(4, 1)",0.3333333333333333,1.0986122886681096,0.0,0.017857142857142856,0.3333333333333333,1.0986122886681096,-1.1102230246251565e-16,0.019230767646706094,0.48,-4.02535169073515,-3.9512438009527138
59,A10249252O9I20MRSOBVF,81,"(4, 4)",0.3333333333333333,1.0986122886681096,0.0,0.014285714285714285,0.3333333333333333,1.0986122886681096,0.0,0.014492753623188324,0.62,-4.248495242049359,-4.234106504597265
60,A10249252O9I20MRSOBVF,82,"(4, 2)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.08333333333333333,0.2669208812522533,1.0820352433745248,0.3042591177453656,0.08897362708345949,0.17,-2.4849066497880004,-2.419415278067847
61,A10249252O9I20MRSOBVF,82,"(1, 4)",0.5,0.6931471805599453,0.4054651081081644,0.015151515151515152,0.41939864686749223,0.6800971570508456,0.5378145408919479,0.025417102909549696,0.27,-4.189654742026425,-3.6723329886556053
62,A10249252O9I20MRSOBVF,82,"(4, 4)",0.5,0.6931471805599453,0.0,0.004545454545454545,0.2974634261695135,0.6086997241246785,0.031738918121013565,0.005093791348414687,0.2,-5.393627546352362,-5.2797328635278635
63,A10249252O9I20MRSOBVF,82,"(3, 1)",1.0,0.0,0.6931471805599453,0.00202020202020202,1.0,0.0,1.2124639987991879,0.005380986448490279,0.37,-6.20455776256869,-5.2248835668778995
64,A10249252O9I20MRSOBVF,84,"(4, 2)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.05555555555555555,0.18584833698606415,0.9782272153761639,0.4080671457437268,0.041299961451459144,0.14,-2.890371757896165,-3.1868937123942986
65,A10249252O9I20MRSOBVF,84,"(1, 2)",0.3333333333333333,1.0986122886681096,0.0,0.006535947712418301,0.010159403968102332,0.16780765254271854,0.42717148271475186,0.0002964648190951196,0.22,-5.030437921392435,-8.123582000545795
66,A10249252O9I20MRSOBVF,84,"(1, 5)",1.0,0.0,1.0986122886681098,0.0012254901960784314,1.0,0.0,4.58935550310949,0.00362086686808295,0.36,-6.704414354964107,-5.621041815490684
67,A10249252O9I20MRSOBVF,84,"(4, 3)",1.0,0.0,0.0,0.000326797385620915,1.0,0.0,0.0,0.0006417095307103166,0.6,-8.026170194946426,-7.3513748010346065
68,A10249252O9I20MRSOBVF,86,"(4, 3)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.125,0.25,1.0397207708399179,0.34657359027997264,0.125,0.54,-2.0794415416798357,-2.0794415416798357
69,A10249252O9I20MRSOBVF,86,"(4, 2)",0.3333333333333333,1.0986122886681096,0.0,0.03571428571428571,0.003931344578567371,0.0513813534235507,0.6472158279572817,0.0006604167480318353,0.54,-3.332204510175204,-7.322639485804022
70,A10249252O9I20MRSOBVF,86,"(1, 3)",0.3333333333333333,1.0986122886681096,0.0,0.017857142857142856,4.3521504593424995e-09,1.762846878307409e-07,0.007893634945561735,1.0880376243062316e-09,0.6,-4.02535169073515,-20.63889010794676
71,A10249252O9I20MRSOBVF,86,"(1, 2)",0.3333333333333333,1.0986122886681096,0.0,0.014285714285714285,1.5519850903474024e-16,1.1521063056482959e-14,8.704295474707637e-09,1.5519850903474031e-16,0.67,-4.248495242049359,-36.40182667292477
72,A10249252O9I20MRSOBVF,88,"(5, 5)",0.5,0.6931471805599453,0.6931471805599453,0.0625,0.33333333333333337,0.6365141682948128,0.7497801928250779,0.0833329805160165,0.57,-2.772588722239781,-2.484910883604765
73,A10249252O9I20MRSOBVF,88,"(5, 4)",0.5,0.6931471805599453,0.0,0.008333333333333333,0.00021256926349742848,0.002010083946821586,0.40360236594700966,8.786025273486947e-06,0.67,-4.787491742782046,-11.64234813585132
74,A10249252O9I20MRSOBVF,88,"(0, 0)",0.5,0.6931471805599453,0.0,0.0017857142857142857,7.608150375727253e-10,1.6735367558308514e-08,0.00021258155765286254,1.4157406559439202e-11,0.67,-6.327936783729195,-24.980783197019434
75,A10249252O9I20MRSOBVF,88,"(5, 0)",1.0,0.0,0.6931471805599453,0.0005494505494505495,1.0,0.0,20.99663083941856,0.0006203473945409246,0.76,-7.506591780070841,-7.385230923066604
76,A10249252O9I20MRSOBVF,89,"(0, 5)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.05555555555555555,0.14584124031330736,0.9638102148910149,0.4224841462288757,0.032410531284317964,0.5,-2.890371757896165,-3.4292718693583497
77,A10249252O9I20MRSOBVF,89,"(2, 0)",1.0,0.0,1.0986122886681098,0.006535947712418301,1.0,0.0,1.9252366440311397,0.015380290509848061,0.5,-5.030437921392435,-4.1746684262762646
78,A10249252O9I20MRSOBVF,89,"(0, 0)",1.0,0.0,0.0,0.0012254901960784314,1.0,0.0,0.0,0.0016666666640881565,0.6,-6.704414354964107,-6.396929656763253
79,A10249252O9I20MRSOBVF,89,"(2, 5)",1.0,0.0,0.0,0.000326797385620915,1.0,0.0,0.0,0.00036496350364962173,0.66,-8.026170194946426,-7.915713199382153
80,A16G6PPH1INQL8,47,"(0, 1)",0.5,0.6931471805599453,0.6931471805599453,0.041666666666666664,0.4876817488198014,0.6928436712284541,0.6934506898914365,0.07739916006920142,0.04,-3.1780538303479458,-2.55877935026444
