,worker,true_prob_idx,coords,h1Gd_lit,H_lit,KL_lit,dGh1_lit,h1Gd_prag,H_prag,KL_prag,dGh1_prag,posterior,log dGh1_lit,log dGh1_prag
0,A10249252O9I20MRSOBVF,47,"(0, 1)",0.5,0.6931471805599453,0.6931471805599453,0.041666666666666664,0.7450211524142473,0.567739153155754,0.8185552079641367,0.08194308810681428,0.16,-3.1780538303479458,-2.5017303201582086
1,A10249252O9I20MRSOBVF,47,"(5, 4)",1.0,0.0,0.6931471805599453,0.0036231884057971015,1.0,0.0,0.2943426685032916,0.005586592647882438,0.24,-5.62040086571715,-5.187385721869802
2,A10249252O9I20MRSOBVF,47,"(5, 1)",1.0,0.0,0.0,0.0004940711462450593,1.0,0.0,0.0,0.0006142637066644666,0.37,-7.6128310304073565,-7.395086232339883
3,A10249252O9I20MRSOBVF,47,"(0, 4)",1.0,0.0,0.0,9.410878976096367e-05,1.0,0.0,0.0,0.00010568379151262863,0.55,-9.271059107010888,-9.155059021097898
4,A10249252O9I20MRSOBVF,58,"(4, 0)",0.25,1.3862943611198906,0.0,0.08333333333333333,0.6248626644214584,0.8177293952438299,0.5685649658760608,0.08333333333333331,0.2,-2.4849066497880004,-2.4849066497880004
5,A10249252O9I20MRSOBVF,58,"(5, 0)",0.25,1.3862943611198906,0.0,0.015151515151515152,0.9090863908137405,0.30464650094338463,0.22337934288521882,0.015151515151515152,0.2,-4.189654742026425,-4.189654742026425
6,A10249252O9I20MRSOBVF,58,"(4, 5)",0.25,1.3862943611198906,0.0,0.004545454545454545,0.9999999999198161,1.9441952678153897e-09,0.09531514816199195,0.004545454545454545,0.2,-5.393627546352362,-5.393627546352362
7,A10249252O9I20MRSOBVF,58,"(5, 5)",0.25,1.3862943611198906,0.0,0.00202020202020202,1.0,9.194060775925481e-21,8.01838595439693e-11,0.00202020202020202,0.45,-6.20455776256869,-6.20455776256869
8,A10249252O9I20MRSOBVF,59,"(0, 2)",0.5,0.6931471805599453,0.6931471805599453,0.0625,1.0,8.568762175663129e-17,1.3862943611198906,0.18749999979424653,0.49,-2.772588722239781,-1.6739764346690233
9,A10249252O9I20MRSOBVF,59,"(5, 3)",0.5,0.6931471805599453,0.0,0.008333333333333333,1.0,1.7077623313514888e-27,-6.517327064462776e-28,0.014285714285714285,0.49,-4.787491742782046,-4.248495242049359
10,A10249252O9I20MRSOBVF,59,"(2, 5)",0.5,0.6931471805599453,0.0,0.0017857142857142857,1.0,4.974926035177236e-38,-1.3525313781820477e-38,0.0022123893805309734,0.49,-6.327936783729195,-6.113682179832232
11,A10249252O9I20MRSOBVF,59,"(3, 0)",0.5,0.6931471805599453,0.0,0.0005494505494505495,1.0,3.174907539169551e-51,-8.043910363211001e-52,0.000594883997620464,0.54,-7.506591780070841,-7.427144133408616
12,A10249252O9I20MRSOBVF,60,"(4, 4)",0.5,0.6931471805599453,0.6931471805599453,0.08333333333333333,0.8571408113848444,0.41011998377761083,0.9761743773422797,0.14285669480611052,0.49,-2.4849066497880004,-1.9459132854174581
13,A10249252O9I20MRSOBVF,60,"(4, 2)",0.5,0.6931471805599453,0.0,0.015151515151515152,0.9999999999964773,9.642327124360111e-11,0.15415306645767654,0.02352941177211674,0.49,-4.189654742026425,-3.74950407561541
14,A10249252O9I20MRSOBVF,60,"(1, 2)",0.5,0.6931471805599453,0.0,0.004545454545454545,1.0,2.0588720128920935e-23,3.522737657118478e-12,0.006644413273948245,0.49,-5.393627546352362,-5.013978886584577
15,A10249252O9I20MRSOBVF,60,"(1, 4)",0.5,0.6931471805599453,0.0,0.00202020202020202,1.0,2.9287724558060797e-34,-9.096118402148918e-35,0.0027094635216818154,0.49,-6.20455776256869,-5.91100462616672
16,A10249252O9I20MRSOBVF,61,"(1, 3)",0.5,0.6931471805599453,0.6931471805599453,0.0625,0.8431996563181119,0.43432582470337017,0.9519685364165206,0.12491846763707422,0.22,-2.772588722239781,-2.0800940133966255
17,A10249252O9I20MRSOBVF,61,"(5, 1)",0.5,0.6931471805599453,0.0,0.008333333333333333,0.9999999999994064,1.7307284936927846e-11,0.17055150877118563,0.014493194730402018,0.22,-4.787491742782046,-4.234076068662698
18,A10249252O9I20MRSOBVF,61,"(2, 0)",0.5,0.6931471805599453,0.0,0.0017857142857142857,1.0,3.4325059664230423e-26,5.937472735693385e-13,0.0028363045458596973,0.43,-6.327936783729195,-5.865253290372576
19,A10249252O9I20MRSOBVF,61,"(5, 3)",0.5,0.6931471805599453,0.0,0.0005494505494505495,1.0,5.975766982290384e-38,-1.8175988864631012e-38,0.0007547168880051029,0.47,-7.506591780070841,-7.189167861813568
20,A10249252O9I20MRSOBVF,64,"(4, 0)",0.5,0.6931471805599453,0.6931471805599453,0.05555555555555555,0.38290398732475284,0.6654678887595076,0.7208264723603831,0.07658079746495061,0.28,-2.890371757896165,-2.569408919498692
21,A10249252O9I20MRSOBVF,64,"(4, 5)",0.5,0.6931471805599453,0.0,0.006535947712418301,0.12300058905128347,0.3728611280460873,0.1685703714361715,0.0028275989262058748,0.34,-5.030437921392435,-5.8683273634221536
22,A10249252O9I20MRSOBVF,64,"(1, 2)",1.0,0.0,0.6931471805599453,0.0012254901960784314,1.0,0.0,2.095566134586362,0.002717391304347825,0.4,-6.704414354964107,-5.908082938168931
23,A10249252O9I20MRSOBVF,64,"(1, 3)",1.0,0.0,0.0,0.000326797385620915,1.0,0.0,0.0,0.0005,0.82,-8.026170194946426,-7.600902459542082
24,A10249252O9I20MRSOBVF,65,"(2, 4)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.058823529411764705,0.4182481168921984,1.0500135543975464,0.33628080672234434,0.06970801884835921,0.25,-2.833213344056216,-2.66343991979359
25,A10249252O9I20MRSOBVF,65,"(3, 1)",0.3333333333333333,1.0986122886681096,0.0,0.007352941176470588,0.4444444397880126,0.9497732184563005,0.033588616230911236,0.006410256377850984,0.32,-4.912654885736052,-5.049856012304784
26,A10249252O9I20MRSOBVF,65,"(5, 4)",0.3333333333333333,1.0986122886681096,0.0,0.0014705882352941176,0.5037181380516635,0.7103974449989211,0.09316753508087708,0.0011326172094637678,0.45,-6.522092798170152,-6.7832242097472015
27,A10249252O9I20MRSOBVF,65,"(5, 0)",1.0,0.0,1.0986122886681098,0.0004201680672268908,1.0,0.0,0.6857384172468136,0.0005901445876652572,0.5,-7.77485576666552,-7.4351429872483275
28,A10249252O9I20MRSOBVF,66,"(4, 4)",0.5,0.6931471805599453,0.6931471805599453,0.1,0.49890733551844446,0.6931447927267063,0.6931495683931843,0.12536769086885544,0.57,-2.3025850929940455,-2.0765043325541335
29,A10249252O9I20MRSOBVF,66,"(5, 1)",1.0,0.0,0.6931471805599453,0.022222222222222223,1.0,0.0,0.6953349008389046,0.049180327868852666,0.57,-3.8066624897703196,-3.0122615755051974
30,A10249252O9I20MRSOBVF,66,"(5, 4)",1.0,0.0,0.0,0.008333333333333333,1.0,0.0,0.0,0.017045454545454548,0.67,-4.787491742782046,-4.071871706370042
31,A10249252O9I20MRSOBVF,66,"(4, 1)",1.0,0.0,0.0,0.004761904761904762,1.0,0.0,0.0,0.009316769502323397,0.67,-5.3471075307174685,-4.67593933029359
32,A10249252O9I20MRSOBVF,70,"(1, 4)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.125,0.3187397118451347,1.0404525817531545,0.3458417793667364,0.1274958847380539,0.28,-2.0794415416798357,-2.059671191468839
33,A10249252O9I20MRSOBVF,70,"(4, 3)",0.5,0.6931471805599453,0.4054651081081644,0.03571428571428571,0.807231092179179,0.49021309253018575,0.7406331021167134,0.0717538749170125,0.34,-3.332204510175204,-2.634513419988647
34,A10249252O9I20MRSOBVF,70,"(4, 1)",0.5,0.6931471805599453,0.0,0.017857142857142856,0.9792053245205553,0.10111594247173548,0.14280977630553693,0.02939003602724365,0.51,-4.02535169073515,-3.5270995727186616
35,A10249252O9I20MRSOBVF,70,"(1, 2)",0.5,0.6931471805599453,0.0,0.014285714285714285,0.9999999999897996,2.6835865309951925e-10,0.021013929386676972,0.01838045774861724,0.5,-4.248495242049359,-3.996467257652132
36,A10249252O9I20MRSOBVF,71,"(1, 4)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.16666666666666666,0.47878027203618073,1.0404525817531545,0.3458417793667362,0.19151210881447228,0.29,-1.791759469228055,-1.6528042409532915
37,A10249252O9I20MRSOBVF,71,"(4, 1)",0.3333333333333333,1.0986122886681096,0.0,0.06666666666666667,0.773132660563584,0.6466766575208683,0.20198479272948486,0.0687229067538205,0.23,-2.70805020110221,-2.67767270368759
38,A10249252O9I20MRSOBVF,71,"(3, 0)",0.3333333333333333,1.0986122886681096,0.0,0.05,0.9999999999926826,1.9567946675824478e-10,0.25730462712903046,0.05000000000001716,0.23,-2.995732273553991,-2.9957322735536476
39,A10249252O9I20MRSOBVF,71,"(2, 5)",0.3333333333333333,1.0986122886681096,0.0,0.06666666666666667,1.0,1.2559601286651324e-26,7.317479955277625e-12,0.06666666666666667,0.23,-2.70805020110221,-2.70805020110221
40,A10249252O9I20MRSOBVF,74,"(1, 3)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.16666666666666666,0.6180339614888183,0.6650191282660158,0.7212752328538747,0.20601132781559245,0.27,-1.791759469228055,-1.5798241223083376
41,A10249252O9I20MRSOBVF,74,"(3, 1)",0.3333333333333333,1.0986122886681096,0.0,0.06666666666666667,0.8827822183206118,0.36134471677380786,0.17627373466233956,0.07356518487662336,0.34,-2.70805020110221,-2.6095833967296502
