,worker,true_prob_idx,coords,h1Gd_lit,H_lit,KL_lit,dGh1_lit,h1Gd_prag,H_prag,KL_prag,dGh1_prag,log dGh1_lit,log dGh1_prag
0,A110KENBXU7SUJ,47,"(0, 4)",0.5,0.6931471805599453,0.6931471805599453,0.041666666666666664,0.7450211524142473,0.567739153155754,0.8185552079641367,0.08194308810681428,-3.1780538303479458,-2.5017303201582086
1,A110KENBXU7SUJ,47,"(5, 1)",1.0,0.0,0.6931471805599453,0.0036231884057971015,1.0,0.0,0.2943426685032916,0.005586592647882438,-5.62040086571715,-5.187385721869802
2,A110KENBXU7SUJ,60,"(4, 4)",0.5,0.6931471805599453,0.6931471805599453,0.08333333333333333,0.8571408113848444,0.41011998377761083,0.9761743773422797,0.14285669480611052,-2.4849066497880004,-1.9459132854174581
3,A110KENBXU7SUJ,60,"(4, 2)",0.5,0.6931471805599453,0.0,0.015151515151515152,0.9999999999964773,9.642327124360111e-11,0.15415306645767654,0.02352941177211674,-4.189654742026425,-3.74950407561541
4,A110KENBXU7SUJ,62,"(5, 0)",0.25,1.3862943611198906,0.0,0.08333333333333333,0.5804387961535649,0.9746974895413386,0.4115968715785521,0.08333333333333333,-2.4849066497880004,-2.4849066497880004
5,A110KENBXU7SUJ,63,"(2, 2)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.05263157894736842,0.5970369536764405,0.9508162461874068,0.4354781149324839,0.06823279470653332,-2.9444389791664407,-2.6848299689096167
6,A110KENBXU7SUJ,63,"(5, 4)",0.3333333333333333,1.0986122886681096,0.0,0.005847953216374269,0.9810851068599368,0.10549565224228827,0.43012089064732656,0.007756212639248165,-5.14166355650266,-4.859261125880567
7,A110KENBXU7SUJ,63,"(5, 1)",0.3333333333333333,1.0986122886681096,0.0,0.0010319917440660474,0.9999999999895289,2.764426182445091e-10,0.019096067747838744,0.001209189793783298,-6.876264611890766,-6.717804735564905
8,A110KENBXU7SUJ,64,"(1, 3)",0.5,0.6931471805599453,0.6931471805599453,0.05555555555555555,0.46380022403409044,0.690524038571896,0.6957703225479945,0.09276004480681804,-2.890371757896165,-2.3777392835546247
9,A110KENBXU7SUJ,64,"(4, 0)",1.0,0.0,0.6931471805599453,0.006535947712418301,1.0,0.0,0.768301371120524,0.022988502256591492,-5.030437921392435,-3.7727610899329203
10,A110KENBXU7SUJ,66,"(4, 1)",0.5,0.6931471805599453,0.6931471805599453,0.1,0.4989073355184446,0.6931447927267063,0.6931495683931843,0.12536769086885546,-2.3025850929940455,-2.076504332554133
11,A110KENBXU7SUJ,66,"(5, 4)",1.0,0.0,0.6931471805599453,0.022222222222222223,1.0,0.0,0.6953349008389044,0.049180327868852666,-3.8066624897703196,-3.0122615755051974
12,A110KENBXU7SUJ,70,"(4, 1)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.125,0.3187397118451347,1.0404525817531545,0.3458417793667364,0.1274958847380539,-2.0794415416798357,-2.059671191468839
13,A110KENBXU7SUJ,70,"(0, 3)",0.3333333333333333,1.0986122886681096,0.0,0.03571428571428571,0.18313437019304274,0.6466766575208684,0.20198479272948439,0.016278611534819593,-3.332204510175204,-4.117903208603841
